🇨🇳电视频道,#genre#
CCTV1-高码,http://127.0.0.1/ysptp/cctv1.m3u8
CCTV1-综合,http://127.0.0.1/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV1-综合,http://127.0.0.1/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV1-综合,http://127.0.0.1/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2-高码,http://127.0.0.1/ysptp/cctv2.m3u8
CCTV2-财经,http://127.0.0.1/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2-财经,http://127.0.0.1/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV2-财经,http://127.0.0.1/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3-高码,http://127.0.0.1/ysptp/cctv3.m3u8
CCTV3-综艺,http://127.0.0.1/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV3-综艺,http://127.0.0.1/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4-高码,http://127.0.0.1/ysptp/cctv4.m3u8
CCTV4-国际,http://127.0.0.1/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV4-国际,http://127.0.0.1/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5-高码,http://127.0.0.1/ysptp/cctv5.m3u8
CCTV5-体育,http://127.0.0.1/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV5-体育,http://127.0.0.1/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5p-高码,http://127.0.0.1/ysptp/cctv5p.m3u8
CCTV5+体育赛事,http://127.0.0.1/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV5+体育赛事,http://127.0.0.1/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6-电影,http://127.0.0.1/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV6-电影,http://127.0.0.1/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV6-电影,http://127.0.0.1/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7-高码,http://127.0.0.1/ysptp/cctv7.m3u8
CCTV7-军农,http://127.0.0.1/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV7-军农,http://127.0.0.1/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV7-军农,http://127.0.0.1/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8-高码,http://127.0.0.1/ysptp/cctv8.m3u8
